"MES_REFERENCIA";"SUBMERCADO";"PERIODO_COMERCIALIZACAO";"DIA";"HORA";"PLD_HORA"
"202401";NORDESTE;1;"01";"00";61.07
"202401";NORTE;1;"01";"00";61.07
"202401";SUDESTE;1;"01";"00";61.07
"202401";SUL;1;"01";"00";61.07
"202401";NORDESTE;2;"01";"01";61.07
"202401";NORTE;2;"01";"01";61.07
"202401";SUDESTE;2;"01";"01";61.07
"202401";SUL;2;"01";"01";61.07
"202401";NORDESTE;3;"01";"02";61.07
"202401";NORTE;3;"01";"02";61.07
"202401";SUDESTE;3;"01";"02";61.07
"202401";SUL;3;"01";"02";61.07
"202401";NORDESTE;4;"01";"03";61.07
"202401";NORTE;4;"01";"03";61.07
"202401";SUDESTE;4;"01";"03";61.07
"202401";SUL;4;"01";"03";61.07
"202401";NORDESTE;5;"01";"04";61.07
"202401";NORTE;5;"01";"04";61.07
"202401";SUDESTE;5;"01";"04";61.07
"202401";SUL;5;"01";"04";61.07
"202401";NORDESTE;6;"01";"05";61.07
"202401";NORTE;6;"01";"05";61.07
"202401";SUDESTE;6;"01";"05";61.07
"202401";SUL;6;"01";"05";61.07
"202401";NORDESTE;7;"01";"06";61.07
"202401";NORTE;7;"01";"06";61.07
"202401";SUDESTE;7;"01";"06";61.07
"202401";SUL;7;"01";"06";61.07
"202401";NORDESTE;8;"01";"07";61.07
"202401";NORTE;8;"01";"07";61.07
"202401";SUDESTE;8;"01";"07";61.07
"202401";SUL;8;"01";"07";61.07
"202401";NORDESTE;9;"01";"08";61.07
"202401";NORTE;9;"01";"08";61.07
"202401";SUDESTE;9;"01";"08";61.07
"202401";SUL;9;"01";"08";61.07
"202401";NORDESTE;10;"01";"09";61.07
"202401";NORTE;10;"01";"09";61.07
"202401";SUDESTE;10;"01";"09";61.07
"202401";SUL;10;"01";"09";61.07
"202401";NORDESTE;11;"01";"10";61.07
"202401";NORTE;11;"01";"10";61.07
"202401";SUDESTE;11;"01";"10";61.07
"202401";SUL;11;"01";"10";61.07
"202401";NORDESTE;12;"01";"11";61.07
"202401";NORTE;12;"01";"11";61.07
"202401";SUDESTE;12;"01";"11";61.07
"202401";SUL;12;"01";"11";61.07
"202401";NORDESTE;13;"01";"12";61.07
"202401";NORTE;13;"01";"12";61.07
"202401";SUDESTE;13;"01";"12";61.07
"202401";SUL;13;"01";"12";61.07
"202401";NORDESTE;14;"01";"13";61.07
"202401";NORTE;14;"01";"13";61.07
"202401";SUDESTE;14;"01";"13";61.07
"202401";SUL;14;"01";"13";61.07
"202401";NORDESTE;15;"01";"14";61.07
"202401";NORTE;15;"01";"14";61.07
"202401";SUDESTE;15;"01";"14";61.07
"202401";SUL;15;"01";"14";61.07
"202401";NORDESTE;16;"01";"15";61.07
"202401";NORTE;16;"01";"15";61.07
"202401";SUDESTE;16;"01";"15";61.07
"202401";SUL;16;"01";"15";61.07
"202401";NORDESTE;17;"01";"16";61.07
"202401";NORTE;17;"01";"16";61.07
"202401";SUDESTE;17;"01";"16";61.07
"202401";SUL;17;"01";"16";61.07
"202401";NORDESTE;18;"01";"17";61.07
"202401";NORTE;18;"01";"17";61.07
"202401";SUDESTE;18;"01";"17";61.07
"202401";SUL;18;"01";"17";61.07
"202401";NORDESTE;19;"01";"18";61.07
"202401";NORTE;19;"01";"18";61.07
"202401";SUDESTE;19;"01";"18";61.07
"202401";SUL;19;"01";"18";61.07
"202401";NORDESTE;20;"01";"19";61.07
"202401";NORTE;20;"01";"19";61.07
"202401";SUDESTE;20;"01";"19";61.07
"202401";SUL;20;"01";"19";61.07
"202401";NORDESTE;21;"01";"20";61.07
"202401";NORTE;21;"01";"20";61.07
"202401";SUDESTE;21;"01";"20";61.07
"202401";SUL;21;"01";"20";61.07
"202401";NORDESTE;22;"01";"21";61.07
"202401";NORTE;22;"01";"21";61.07
"202401";SUDESTE;22;"01";"21";61.07
"202401";SUL;22;"01";"21";61.07
"202401";NORDESTE;23;"01";"22";61.07
"202401";NORTE;23;"01";"22";61.07
"202401";SUDESTE;23;"01";"22";61.07
"202401";SUL;23;"01";"22";61.07
