hour_of_year;month;day;hour_of_day;curtailment_rate;curtailment_pct
0;1;1;0;0;0
1;1;1;1;0;0
2;1;1;2;0;0
3;1;1;3;0;0
4;1;1;4;0;0
5;1;1;5;1.44E-06;0.00014439
6;1;1;6;0.020050321;2.005032098
7;1;1;7;0.122728902;12.27289024
8;1;1;8;0.170285292;17.02852916
9;1;1;9;0.21129362;21.12936199
10;1;1;10;0.23683837;23.68383695
11;1;1;11;0.245344114;24.53441139
12;1;1;12;0.28736198;28.73619796
13;1;1;13;0.220989339;22.09893389
14;1;1;14;0.16852623;16.85262297
15;1;1;15;0.10876892;10.87689197
16;1;1;16;0.048806881;4.880688061
17;1;1;17;0.011878187;1.187818661
18;1;1;18;0.001145405;0.11454046
19;1;1;19;2.04E-05;0.002044268
20;1;1;20;0;0
21;1;1;21;0;0
22;1;1;22;0;0
23;1;1;23;0;0
24;1;2;0;0;0
25;1;2;1;0;0
26;1;2;2;0;0
27;1;2;3;0;0
28;1;2;4;0;0
29;1;2;5;1.44E-06;0.00014439
30;1;2;6;0.020050321;2.005032098
31;1;2;7;0.122728902;12.27289024
32;1;2;8;0.170285292;17.02852916
33;1;2;9;0.21129362;21.12936199
34;1;2;10;0.23683837;23.68383695
35;1;2;11;0.245344114;24.53441139
36;1;2;12;0.28736198;28.73619796
37;1;2;13;0.220989339;22.09893389
38;1;2;14;0.16852623;16.85262297
39;1;2;15;0.10876892;10.87689197
40;1;2;16;0.048806881;4.880688061
41;1;2;17;0.011878187;1.187818661
42;1;2;18;0.001145405;0.11454046
43;1;2;19;2.04E-05;0.002044268
44;1;2;20;0;0
45;1;2;21;0;0
46;1;2;22;0;0
47;1;2;23;0;0
48;1;3;0;0;0
49;1;3;1;0;0
50;1;3;2;0;0
51;1;3;3;0;0
52;1;3;4;0;0
53;1;3;5;1.44E-06;0.00014439
54;1;3;6;0.020050321;2.005032098
55;1;3;7;0.122728902;12.27289024
56;1;3;8;0.170285292;17.02852916
57;1;3;9;0.21129362;21.12936199
58;1;3;10;0.23683837;23.68383695
59;1;3;11;0.245344114;24.53441139
60;1;3;12;0.28736198;28.73619796
61;1;3;13;0.220989339;22.09893389
62;1;3;14;0.16852623;16.85262297
63;1;3;15;0.10876892;10.87689197
64;1;3;16;0.048806881;4.880688061
65;1;3;17;0.011878187;1.187818661
66;1;3;18;0.001145405;0.11454046
67;1;3;19;2.04E-05;0.002044268
68;1;3;20;0;0
69;1;3;21;0;0
70;1;3;22;0;0
71;1;3;23;0;0
72;1;4;0;0;0
73;1;4;1;0;0
74;1;4;2;0;0
75;1;4;3;0;0
76;1;4;4;0;0
77;1;4;5;1.44E-06;0.00014439
78;1;4;6;0.020050321;2.005032098
79;1;4;7;0.122728902;12.27289024
80;1;4;8;0.170285292;17.02852916
81;1;4;9;0.21129362;21.12936199
82;1;4;10;0.23683837;23.68383695
83;1;4;11;0.245344114;24.53441139
84;1;4;12;0.28736198;28.73619796
85;1;4;13;0.220989339;22.09893389
86;1;4;14;0.16852623;16.85262297
87;1;4;15;0.10876892;10.87689197
88;1;4;16;0.048806881;4.880688061
89;1;4;17;0.011878187;1.187818661
90;1;4;18;0.001145405;0.11454046
91;1;4;19;2.04E-05;0.002044268
92;1;4;20;0;0
93;1;4;21;0;0
94;1;4;22;0;0
95;1;4;23;0;0
96;1;5;0;0;0
97;1;5;1;0;0
98;1;5;2;0;0
99;1;5;3;0;0
100;1;5;4;0;0
101;1;5;5;1.44E-06;0.00014439
102;1;5;6;0.020050321;2.005032098
103;1;5;7;0.122728902;12.27289024
104;1;5;8;0.170285292;17.02852916
105;1;5;9;0.21129362;21.12936199
106;1;5;10;0.23683837;23.68383695
107;1;5;11;0.245344114;24.53441139
108;1;5;12;0.28736198;28.73619796
109;1;5;13;0.220989339;22.09893389
110;1;5;14;0.16852623;16.85262297
111;1;5;15;0.10876892;10.87689197
112;1;5;16;0.048806881;4.880688061
113;1;5;17;0.011878187;1.187818661
114;1;5;18;0.001145405;0.11454046
115;1;5;19;2.04E-05;0.002044268
116;1;5;20;0;0
117;1;5;21;0;0
118;1;5;22;0;0
119;1;5;23;0;0
120;1;6;0;0;0
121;1;6;1;0;0
122;1;6;2;0;0
123;1;6;3;0;0
124;1;6;4;0;0
125;1;6;5;1.44E-06;0.00014439
126;1;6;6;0.020050321;2.005032098
127;1;6;7;0.122728902;12.27289024
128;1;6;8;0.170285292;17.02852916
129;1;6;9;0.21129362;21.12936199
130;1;6;10;0.23683837;23.68383695
131;1;6;11;0.245344114;24.53441139
132;1;6;12;0.28736198;28.73619796
133;1;6;13;0.220989339;22.09893389
134;1;6;14;0.16852623;16.85262297
135;1;6;15;0.10876892;10.87689197
136;1;6;16;0.048806881;4.880688061
137;1;6;17;0.011878187;1.187818661
138;1;6;18;0.001145405;0.11454046
139;1;6;19;2.04E-05;0.002044268
140;1;6;20;0;0
141;1;6;21;0;0
142;1;6;22;0;0
143;1;6;23;0;0
144;1;7;0;0;0
145;1;7;1;0;0
146;1;7;2;0;0
147;1;7;3;0;0
148;1;7;4;0;0
149;1;7;5;1.44E-06;0.00014439
150;1;7;6;0.020050321;2.005032098
151;1;7;7;0.122728902;12.27289024
152;1;7;8;0.170285292;17.02852916
153;1;7;9;0.21129362;21.12936199
154;1;7;10;0.23683837;23.68383695
155;1;7;11;0.245344114;24.53441139
156;1;7;12;0.28736198;28.73619796
157;1;7;13;0.220989339;22.09893389
158;1;7;14;0.16852623;16.85262297
159;1;7;15;0.10876892;10.87689197
160;1;7;16;0.048806881;4.880688061
161;1;7;17;0.011878187;1.187818661
162;1;7;18;0.001145405;0.11454046
163;1;7;19;2.04E-05;0.002044268
164;1;7;20;0;0
165;1;7;21;0;0
166;1;7;22;0;0
167;1;7;23;0;0
168;1;8;0;0;0
169;1;8;1;0;0
170;1;8;2;0;0
171;1;8;3;0;0
172;1;8;4;0;0
173;1;8;5;1.44E-06;0.00014439
174;1;8;6;0.020050321;2.005032098
175;1;8;7;0.122728902;12.27289024
176;1;8;8;0.170285292;17.02852916
177;1;8;9;0.21129362;21.12936199
178;1;8;10;0.23683837;23.68383695
179;1;8;11;0.245344114;24.53441139
180;1;8;12;0.28736198;28.73619796
181;1;8;13;0.220989339;22.09893389
182;1;8;14;0.16852623;16.85262297
183;1;8;15;0.10876892;10.87689197
184;1;8;16;0.048806881;4.880688061
185;1;8;17;0.011878187;1.187818661
186;1;8;18;0.001145405;0.11454046
187;1;8;19;2.04E-05;0.002044268
188;1;8;20;0;0
189;1;8;21;0;0
190;1;8;22;0;0
191;1;8;23;0;0
192;1;9;0;0;0
193;1;9;1;0;0
194;1;9;2;0;0
195;1;9;3;0;0
196;1;9;4;0;0
197;1;9;5;1.44E-06;0.00014439
198;1;9;6;0.020050321;2.005032098
199;1;9;7;0.122728902;12.27289024
200;1;9;8;0.170285292;17.02852916
201;1;9;9;0.21129362;21.12936199
202;1;9;10;0.23683837;23.68383695
203;1;9;11;0.245344114;24.53441139
204;1;9;12;0.28736198;28.73619796
205;1;9;13;0.220989339;22.09893389
206;1;9;14;0.16852623;16.85262297
207;1;9;15;0.10876892;10.87689197
208;1;9;16;0.048806881;4.880688061
209;1;9;17;0.011878187;1.187818661
210;1;9;18;0.001145405;0.11454046
211;1;9;19;2.04E-05;0.002044268
212;1;9;20;0;0
213;1;9;21;0;0
214;1;9;22;0;0
215;1;9;23;0;0
216;1;10;0;0;0
217;1;10;1;0;0
218;1;10;2;0;0
219;1;10;3;0;0
220;1;10;4;0;0
221;1;10;5;1.44E-06;0.00014439
222;1;10;6;0.020050321;2.005032098
223;1;10;7;0.122728902;12.27289024
224;1;10;8;0.170285292;17.02852916
225;1;10;9;0.21129362;21.12936199
226;1;10;10;0.23683837;23.68383695
227;1;10;11;0.245344114;24.53441139
228;1;10;12;0.28736198;28.73619796
229;1;10;13;0.220989339;22.09893389
230;1;10;14;0.16852623;16.85262297
231;1;10;15;0.10876892;10.87689197
232;1;10;16;0.048806881;4.880688061
233;1;10;17;0.011878187;1.187818661
234;1;10;18;0.001145405;0.11454046
235;1;10;19;2.04E-05;0.002044268
236;1;10;20;0;0
237;1;10;21;0;0
238;1;10;22;0;0
239;1;10;23;0;0
240;1;11;0;0;0
241;1;11;1;0;0
242;1;11;2;0;0
243;1;11;3;0;0
244;1;11;4;0;0
245;1;11;5;1.44E-06;0.00014439
246;1;11;6;0.020050321;2.005032098
247;1;11;7;0.122728902;12.27289024
248;1;11;8;0.170285292;17.02852916
249;1;11;9;0.21129362;21.12936199
250;1;11;10;0.23683837;23.68383695
251;1;11;11;0.245344114;24.53441139
252;1;11;12;0.28736198;28.73619796
253;1;11;13;0.220989339;22.09893389
254;1;11;14;0.16852623;16.85262297
255;1;11;15;0.10876892;10.87689197
256;1;11;16;0.048806881;4.880688061
257;1;11;17;0.011878187;1.187818661
258;1;11;18;0.001145405;0.11454046
259;1;11;19;2.04E-05;0.002044268
260;1;11;20;0;0
261;1;11;21;0;0
262;1;11;22;0;0
263;1;11;23;0;0
264;1;12;0;0;0
265;1;12;1;0;0
266;1;12;2;0;0
267;1;12;3;0;0
268;1;12;4;0;0
269;1;12;5;1.44E-06;0.00014439
270;1;12;6;0.020050321;2.005032098
271;1;12;7;0.122728902;12.27289024
272;1;12;8;0.170285292;17.02852916
273;1;12;9;0.21129362;21.12936199
274;1;12;10;0.23683837;23.68383695
275;1;12;11;0.245344114;24.53441139
276;1;12;12;0.28736198;28.73619796
277;1;12;13;0.220989339;22.09893389
278;1;12;14;0.16852623;16.85262297
279;1;12;15;0.10876892;10.87689197
280;1;12;16;0.048806881;4.880688061
281;1;12;17;0.011878187;1.187818661
282;1;12;18;0.001145405;0.11454046
283;1;12;19;2.04E-05;0.002044268
284;1;12;20;0;0
285;1;12;21;0;0
286;1;12;22;0;0
287;1;12;23;0;0
288;1;13;0;0;0
289;1;13;1;0;0
290;1;13;2;0;0
291;1;13;3;0;0
292;1;13;4;0;0
293;1;13;5;1.44E-06;0.00014439
294;1;13;6;0.020050321;2.005032098
295;1;13;7;0.122728902;12.27289024
296;1;13;8;0.170285292;17.02852916
297;1;13;9;0.21129362;21.12936199
298;1;13;10;0.23683837;23.68383695
299;1;13;11;0.245344114;24.53441139
300;1;13;12;0.28736198;28.73619796
301;1;13;13;0.220989339;22.09893389
302;1;13;14;0.16852623;16.85262297
303;1;13;15;0.10876892;10.87689197
304;1;13;16;0.048806881;4.880688061
305;1;13;17;0.011878187;1.187818661
306;1;13;18;0.001145405;0.11454046
307;1;13;19;2.04E-05;0.002044268
308;1;13;20;0;0
309;1;13;21;0;0
310;1;13;22;0;0
311;1;13;23;0;0
312;1;14;0;0;0
313;1;14;1;0;0
314;1;14;2;0;0
315;1;14;3;0;0
316;1;14;4;0;0
317;1;14;5;1.44E-06;0.00014439
318;1;14;6;0.020050321;2.005032098
319;1;14;7;0.122728902;12.27289024
320;1;14;8;0.170285292;17.02852916
321;1;14;9;0.21129362;21.12936199
322;1;14;10;0.23683837;23.68383695
323;1;14;11;0.245344114;24.53441139
324;1;14;12;0.28736198;28.73619796
325;1;14;13;0.220989339;22.09893389
326;1;14;14;0.16852623;16.85262297
327;1;14;15;0.10876892;10.87689197
328;1;14;16;0.048806881;4.880688061
329;1;14;17;0.011878187;1.187818661
330;1;14;18;0.001145405;0.11454046
331;1;14;19;2.04E-05;0.002044268
332;1;14;20;0;0
333;1;14;21;0;0
334;1;14;22;0;0
335;1;14;23;0;0
336;1;15;0;0;0
337;1;15;1;0;0
338;1;15;2;0;0
339;1;15;3;0;0
340;1;15;4;0;0
341;1;15;5;1.44E-06;0.00014439
342;1;15;6;0.020050321;2.005032098
343;1;15;7;0.122728902;12.27289024
344;1;15;8;0.170285292;17.02852916
345;1;15;9;0.21129362;21.12936199
346;1;15;10;0.23683837;23.68383695
347;1;15;11;0.245344114;24.53441139
348;1;15;12;0.28736198;28.73619796
349;1;15;13;0.220989339;22.09893389
350;1;15;14;0.16852623;16.85262297
351;1;15;15;0.10876892;10.87689197
352;1;15;16;0.048806881;4.880688061
353;1;15;17;0.011878187;1.187818661
354;1;15;18;0.001145405;0.11454046
355;1;15;19;2.04E-05;0.002044268
356;1;15;20;0;0
357;1;15;21;0;0
358;1;15;22;0;0
359;1;15;23;0;0
360;1;16;0;0;0
361;1;16;1;0;0
362;1;16;2;0;0
363;1;16;3;0;0
364;1;16;4;0;0
365;1;16;5;1.44E-06;0.00014439
366;1;16;6;0.020050321;2.005032098
367;1;16;7;0.122728902;12.27289024
368;1;16;8;0.170285292;17.02852916
369;1;16;9;0.21129362;21.12936199
370;1;16;10;0.23683837;23.68383695
371;1;16;11;0.245344114;24.53441139
372;1;16;12;0.28736198;28.73619796
373;1;16;13;0.220989339;22.09893389
374;1;16;14;0.16852623;16.85262297
375;1;16;15;0.10876892;10.87689197
376;1;16;16;0.048806881;4.880688061
377;1;16;17;0.011878187;1.187818661
378;1;16;18;0.001145405;0.11454046
379;1;16;19;2.04E-05;0.002044268
380;1;16;20;0;0
381;1;16;21;0;0
382;1;16;22;0;0
383;1;16;23;0;0
384;1;17;0;0;0
385;1;17;1;0;0
386;1;17;2;0;0
387;1;17;3;0;0
388;1;17;4;0;0
389;1;17;5;1.44E-06;0.00014439
390;1;17;6;0.020050321;2.005032098
391;1;17;7;0.122728902;12.27289024
