hour_of_year,price_2030_brl_mwh,price_2031_brl_mwh,price_2032_brl_mwh,price_2033_brl_mwh,price_2034_brl_mwh,price_2035_brl_mwh,price_2036_brl_mwh,price_2037_brl_mwh,price_2038_brl_mwh,price_2039_brl_mwh,price_2040_brl_mwh,price_2041_brl_mwh,price_2042_brl_mwh,price_2043_brl_mwh,price_2044_brl_mwh,price_2045_brl_mwh,price_2046_brl_mwh,price_2047_brl_mwh,price_2048_brl_mwh,price_2049_brl_mwh,price_2050_brl_mwh,price_2051_brl_mwh,price_2052_brl_mwh,price_2053_brl_mwh,price_2054_brl_mwh,price_2055_brl_mwh,price_2056_brl_mwh,price_2057_brl_mwh,price_2058_brl_mwh,price_2059_brl_mwh
1,347.700000,353.600000,354.200000,350.100000,351.300000,337.900000,337.600000,332.600000,341.300000,347.900000,350.100000,356.000000,359.500000,357.600000,363.000000,361.900000,349.700000,356.100000,354.100000,365.800000,345.400000,334.600000,333.700000,340.600000,336.800000,339.700000,341.700000,342.000000,342.500000,335.700000
2,345.500000,351.200000,352.300000,348.800000,348.200000,335.300000,335.100000,330.100000,338.700000,345.300000,350.100000,355.900000,359.400000,357.600000,360.300000,361.800000,349.700000,356.100000,354.100000,365.800000,345.400000,332.100000,331.100000,338.000000,334.200000,337.100000,339.100000,339.400000,339.900000,333.200000
3,344.700000,350.500000,351.800000,348.400000,348.100000,335.300000,335.000000,330.100000,338.700000,347.900000,350.100000,356.000000,359.500000,357.600000,360.300000,361.800000,349.700000,356.000000,354.100000,365.800000,342.800000,332.100000,331.100000,338.000000,334.200000,337.100000,339.100000,339.400000,339.800000,333.200000
4,344.000000,350.000000,351.400000,348.100000,350.500000,337.800000,337.600000,332.600000,341.300000,347.900000,350.100000,356.000000,359.500000,357.600000,363.000000,361.800000,349.700000,356.000000,354.100000,365.800000,345.400000,332.100000,331.100000,337.900000,334.200000,337.100000,339.100000,339.400000,339.800000,333.100000
5,347.900000,354.000000,355.300000,350.800000,350.600000,337.800000,337.600000,332.600000,341.300000,348.500000,351.300000,357.200000,360.700000,358.800000,363.400000,362.200000,350.100000,356.400000,354.500000,366.200000,345.800000,335.000000,334.000000,340.900000,337.200000,340.100000,342.100000,342.400000,342.800000,336.100000
6,347.600000,353.700000,355.100000,351.800000,351.000000,338.300000,338.000000,333.000000,345.100000,351.800000,354.000000,360.000000,363.500000,362.900000,367.100000,365.900000,353.600000,360.000000,358.100000,369.900000,349.300000,335.000000,334.000000,340.900000,337.200000,340.100000,342.100000,342.300000,342.800000,336.100000
7,346.700000,352.800000,354.200000,348.200000,336.900000,303.500000,324.500000,316.100000,324.500000,327.400000,299.600000,313.600000,334.800000,302.900000,280.300000,279.500000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
8,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
9,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
10,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
11,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
12,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
13,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
14,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
15,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
16,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
17,347.700000,352.100000,352.000000,347.300000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000,61.800000
18,349.200000,354.100000,354.500000,350.200000,349.000000,335.400000,335.100000,330.100000,338.700000,345.300000,347.500000,353.400000,356.800000,354.900000,360.300000,359.100000,347.100000,353.400000,351.500000,363.100000,342.800000,332.100000,331.200000,338.000000,334.300000,337.200000,339.200000,339.400000,339.900000,330.400000
19,349.900000,354.700000,354.900000,350.500000,349.100000,335.400000,335.100000,330.200000,338.700000,345.300000,347.500000,353.400000,356.800000,354.900000,360.300000,359.100000,347.100000,353.400000,351.500000,363.100000,342.800000,332.100000,331.200000,338.000000,334.300000,337.200000,339.200000,339.400000,339.900000,333.200000
20,351.300000,355.800000,355.700000,351.100000,349.400000,335.300000,335.100000,330.100000,338.700000,345.300000,347.500000,353.300000,356.800000,354.900000,360.300000,359.100000,347.000000,353.400000,351.400000,363.000000,342.800000,332.100000,331.100000,338.000000,334.300000,337.100000,339.100000,339.400000,339.900000,333.200000
21,351.500000,356.600000,356.500000,351.200000,349.500000,335.400000,335.100000,330.100000,338.700000,345.300000,347.500000,353.400000,356.800000,354.900000,360.300000,359.100000,347.100000,353.400000,351.500000,363.100000,342.800000,332.100000,331.200000,338.000000,334.300000,337.200000,339.200000,339.400000,339.900000,333.200000
22,353.000000,357.300000,357.000000,352.100000,349.600000,335.400000,335.100000,330.200000,338.800000,345.300000,347.500000,353.400000,356.800000,355.000000,360.400000,359.200000,347.100000,353.400000,351.500000,363.100000,342.900000,332.100000,331.200000,338.000000,334.300000,337.200000,339.200000,339.500000,339.900000,333.200000
23,351.500000,356.100000,356.100000,351.600000,349.300000,335.400000,335.100000,330.200000,338.800000,345.300000,347.500000,353.400000,356.800000,355.000000,360.300000,359.200000,347.100000,353.400000,351.500000,363.100000,342.800000,332.100000,331.200000,338.000000,334.300000,337.200000,339.200000,339.400000,339.900000,333.200000
24,350.300000,355.200000,355.400000,351.100000,349.100000,335.300000,335.100000,330.100000,338.700000,345.300000,347.500000,353.400000,356.800000,354.900000,360.300000,359.100000,347.100000,353.400000,351.500000,363.100000,342.800000,332.100000,331.200000,338.000000,333.400000,336.300000,338.300000,338.500000,339.000000,332.300000
25,347.900000,353.300000,354.000000,349.400000,348.600000,334.400000,334.200000,329.200000,337.800000,344.300000,346.500000,352.400000,355.800000,353.900000,357.900000,325.400000,315.400000,320.100000,318.300000,304.000000,310.700000,279.300000,278.700000,284.300000,281.400000,283.800000,285.500000,285.800000,286.200000,280.900000
26,345.100000,350.900000,352.000000,347.600000,347.200000,334.400000,334.100000,329.200000,337.800000,344.300000,289.000000,321.400000,323.800000,295.400000,299.900000,299.100000,289.600000,294.800000,293.300000,302.700000,286.600000,278.200000,277.500000,283.100000,280.200000,282.600000,284.300000,284.600000,285.100000,279.800000
27,343.300000,350.200000,350.800000,347.300000,347.000000,325.900000,334.100000,314.100000,328.800000,328.400000,288.300000,315.300000,323.400000,294.700000,299.100000,298.300000,288.800000,294.000000,292.600000,301.900000,285.900000,277.400000,276.800000,282.300000,279.500000,281.900000,283.500000,283.900000,284.300000,279.100000
28,342.700000,349.700000,350.200000,347.000000,346.900000,325.800000,334.100000,313.900000,328.700000,328.200000,287.800000,314.900000,323.100000,294.100000,298.500000,297.700000,288.300000,293.400000,292.000000,301.300000,285.300000,276.900000,276.200000,281.800000,278.900000,281.300000,283.000000,283.300000,283.800000,278.500000
29,342.800000,349.700000,350.600000,347.100000,346.900000,334.400000,334.100000,322.300000,337.700000,337.100000,288.000000,320.800000,329.800000,294.400000,298.800000,298.000000,288.500000,293.600000,292.200000,301.500000,285.500000,277.100000,276.400000,281.900000,279.100000,281.500000,283.100000,283.500000,283.900000,278.700000
30,346.600000,352.800000,354.200000,351.100000,351.000000,338.400000,336.900000,324.500000,340.600000,339.400000,291.300000,321.400000,330.300000,296.000000,300.500000,299.700000,290.100000,295.300000,293.800000,303.200000,287.100000,278.600000,277.900000,283.500000,280.600000,283.000000,284.700000,285.000000,285.500000,280.200000
