"MES_REFERENCIA";"SUBMERCADO";"PERIODO_COMERCIALIZACAO";"DIA";"HORA";"PLD_HORA"
"202301";NORDESTE;1;"01";"00";69.04
"202301";NORTE;1;"01";"00";69.04
"202301";SUDESTE;1;"01";"00";69.04
"202301";SUL;1;"01";"00";69.04
"202301";NORDESTE;2;"01";"01";69.04
"202301";NORTE;2;"01";"01";69.04
"202301";SUDESTE;2;"01";"01";69.04
"202301";SUL;2;"01";"01";69.04
"202301";NORDESTE;3;"01";"02";69.04
"202301";NORTE;3;"01";"02";69.04
"202301";SUDESTE;3;"01";"02";69.04
"202301";SUL;3;"01";"02";69.04
"202301";NORDESTE;4;"01";"03";69.04
"202301";NORTE;4;"01";"03";69.04
"202301";SUDESTE;4;"01";"03";69.04
"202301";SUL;4;"01";"03";69.04
"202301";NORDESTE;5;"01";"04";69.04
"202301";NORTE;5;"01";"04";69.04
"202301";SUDESTE;5;"01";"04";69.04
"202301";SUL;5;"01";"04";69.04
"202301";NORDESTE;6;"01";"05";69.04
"202301";NORTE;6;"01";"05";69.04
"202301";SUDESTE;6;"01";"05";69.04
"202301";SUL;6;"01";"05";69.04
"202301";NORDESTE;7;"01";"06";69.04
"202301";NORTE;7;"01";"06";69.04
"202301";SUDESTE;7;"01";"06";69.04
"202301";SUL;7;"01";"06";69.04
"202301";NORDESTE;8;"01";"07";69.04
"202301";NORTE;8;"01";"07";69.04
"202301";SUDESTE;8;"01";"07";69.04
"202301";SUL;8;"01";"07";69.04
"202301";NORDESTE;9;"01";"08";69.04
"202301";NORTE;9;"01";"08";69.04
"202301";SUDESTE;9;"01";"08";69.04
"202301";SUL;9;"01";"08";69.04
"202301";NORDESTE;10;"01";"09";69.04
"202301";NORTE;10;"01";"09";69.04
"202301";SUDESTE;10;"01";"09";69.04
"202301";SUL;10;"01";"09";69.04
"202301";NORDESTE;11;"01";"10";69.04
"202301";NORTE;11;"01";"10";69.04
"202301";SUDESTE;11;"01";"10";69.04
"202301";SUL;11;"01";"10";69.04
"202301";NORDESTE;12;"01";"11";69.04
"202301";NORTE;12;"01";"11";69.04
"202301";SUDESTE;12;"01";"11";69.04
"202301";SUL;12;"01";"11";69.04
"202301";NORDESTE;13;"01";"12";69.04
"202301";NORTE;13;"01";"12";69.04
"202301";SUDESTE;13;"01";"12";69.04
"202301";SUL;13;"01";"12";69.04
"202301";NORDESTE;14;"01";"13";69.04
"202301";NORTE;14;"01";"13";69.04
"202301";SUDESTE;14;"01";"13";69.04
"202301";SUL;14;"01";"13";69.04
"202301";NORDESTE;15;"01";"14";69.04
"202301";NORTE;15;"01";"14";69.04
"202301";SUDESTE;15;"01";"14";69.04
"202301";SUL;15;"01";"14";69.04
"202301";NORDESTE;16;"01";"15";69.04
"202301";NORTE;16;"01";"15";69.04
"202301";SUDESTE;16;"01";"15";69.04
"202301";SUL;16;"01";"15";69.04
"202301";NORDESTE;17;"01";"16";69.04
"202301";NORTE;17;"01";"16";69.04
"202301";SUDESTE;17;"01";"16";69.04
"202301";SUL;17;"01";"16";69.04
"202301";NORDESTE;18;"01";"17";69.04
"202301";NORTE;18;"01";"17";69.04
"202301";SUDESTE;18;"01";"17";69.04
"202301";SUL;18;"01";"17";69.04
"202301";NORDESTE;19;"01";"18";69.04
"202301";NORTE;19;"01";"18";69.04
"202301";SUDESTE;19;"01";"18";69.04
"202301";SUL;19;"01";"18";69.04
"202301";NORDESTE;20;"01";"19";69.04
"202301";NORTE;20;"01";"19";69.04
"202301";SUDESTE;20;"01";"19";69.04
"202301";SUL;20;"01";"19";69.04
"202301";NORDESTE;21;"01";"20";69.04
"202301";NORTE;21;"01";"20";69.04
"202301";SUDESTE;21;"01";"20";69.04
"202301";SUL;21;"01";"20";69.04
"202301";NORDESTE;22;"01";"21";69.04
"202301";NORTE;22;"01";"21";69.04
"202301";SUDESTE;22;"01";"21";69.04
"202301";SUL;22;"01";"21";69.04
"202301";NORDESTE;23;"01";"22";69.04
"202301";NORTE;23;"01";"22";69.04
"202301";SUDESTE;23;"01";"22";69.04
