;month;day;hour;minute;avg_generation;ano_1
0;1;1;0;0;-0.650685362;-0.650685362
1;1;1;1;0;-0.650685362;-0.650685362
2;1;1;2;0;-0.650685362;-0.650685362
3;1;1;3;0;-0.650685362;-0.650685362
4;1;1;4;0;-0.650685362;-0.650685362
5;1;1;5;0;-0.650685362;-0.650685362
6;1;1;6;0;37.94704398;37.94704398
7;1;1;7;0;37.29918277;37.29918277
8;1;1;8;0;97.83438499;97.83438499
9;1;1;9;0;310.5328109;310.5328109
10;1;1;10;0;576.8054613;576.8054613
11;1;1;11;0;576.8054613;576.8054613
12;1;1;12;0;533.1270767;533.1270767
13;1;1;13;0;440.2067218;440.2067218
14;1;1;14;0;290.7976143;290.7976143
15;1;1;15;0;437.4221048;437.4221048
16;1;1;16;0;505.9982417;505.9982417
17;1;1;17;0;197.6569753;197.6569753
18;1;1;18;0;58.84409808;58.84409808
19;1;1;19;0;-0.650685362;-0.650685362
20;1;1;20;0;-0.650685362;-0.650685362
21;1;1;21;0;-0.650685362;-0.650685362
22;1;1;22;0;-0.650685362;-0.650685362
23;1;1;23;0;-0.650685362;-0.650685362
24;1;2;0;0;-0.650685362;-0.650685362
25;1;2;1;0;-0.650685362;-0.650685362
26;1;2;2;0;-0.650685362;-0.650685362
27;1;2;3;0;-0.650685362;-0.650685362
28;1;2;4;0;-0.650685362;-0.650685362
29;1;2;5;0;-0.650685362;-0.650685362
30;1;2;6;0;143.0208684;143.0208684
31;1;2;7;0;332.9735483;332.9735483
32;1;2;8;0;231.6654524;231.6654524
33;1;2;9;0;369.8570154;369.8570154
34;1;2;10;0;576.8054613;576.8054613
35;1;2;11;0;576.8054613;576.8054613
36;1;2;12;0;508.8449902;508.8449902
37;1;2;13;0;576.8054613;576.8054613
38;1;2;14;0;539.0916926;539.0916926
39;1;2;15;0;423.5103162;423.5103162
40;1;2;16;0;232.5183472;232.5183472
41;1;2;17;0;301.071891;301.071891
42;1;2;18;0;104.3017004;104.3017004
43;1;2;19;0;-0.650685362;-0.650685362
44;1;2;20;0;-0.650685362;-0.650685362
45;1;2;21;0;-0.650685362;-0.650685362
46;1;2;22;0;-0.650685362;-0.650685362
47;1;2;23;0;-0.650685362;-0.650685362
48;1;3;0;0;-0.650685362;-0.650685362
49;1;3;1;0;-0.650685362;-0.650685362
50;1;3;2;0;-0.650685362;-0.650685362
51;1;3;3;0;-0.650685362;-0.650685362
52;1;3;4;0;-0.650685362;-0.650685362
